Id,text,source,title,n_tokens,title_ratio,year,month,has_timestamp
12,scotland defender pressley ruled out of qualifiers scotland defender steven pressley is the latest player to drop out of a depleted squad for the world cup qualifiers with norway and moldova.,Reuters,Scotland defender Pressley ruled out of qualifiers,31,0.2604166666666667,,,0
13,"sap reports jump in q3 revenue and profit boosted by strong sales in europe, the middle east and africa, and with continued growth in the u.s., sap ag, the world's largest maker of business management software, posted a third-quarter rise in revenue and net income.",Computerworld,SAP reports jump in Q3 revenue and profit,45,0.15413533834586465,,,0
14,investigation after body is found \ an elderly man's body is found in a house in county tyrone which police believe may have been burgled.,BBC,Investigation after body is found,25,0.23741007194244604,,,0
15,"atlantis docks with international space station; nasa... [derived headline] atlantis docks with international space station; nasa to examine shuttle before doors open ap photo ny115, ny112 by juan a.",RedNova,Atlantis Docks With International Space Station; NASA... [Derived Headline],29,0.375,2007.0,6.0,1
16,"pilgrim's pride feeds on firm prices the company raises earnings guidance, boosting the stock.",Motley,Pilgrim's Pride Feeds on Firm Prices,14,0.37894736842105264,,,0
17,"jewish settlement agrees to removal from gaza in boost for sharon ... residents of a small jewish settlement said sunday they've struck a deal to move to a village inside israel, giving a boost to the government's contentious gaza pullout plan by becoming the first community to agree to be",CBC,Jewish settlement agrees to removal from Gaza in boost for Sharon <b>...</b>,50,0.2611683848797251,2004.0,12.0,1
18,"red cross appealing for $19m for iraq \ (ap)\ ap - the international red cross on tuesday announced a campaign to raise $19 million to provide food, other supplies and health care to people in iraq.",Yahoo,"Red Cross appealing for $19M for Iraq \
    (AP)\
",36,0.25125628140703515,2008.0,2.0,1
19,"loud music can cause lung collapse (reuters) reuters - blasting music can be hard on\ the ears and the neighbors, and now researchers say it can also\ pack enough punch to collapse a lung.",Yahoo,Loud Music Can Cause Lung Collapse (Reuters),34,0.2328042328042328,2004.0,9.0,1
20,stocks slide as oil nears $50 per barrel new york (reuters) - u.s. stocks opened lower on friday on concerns the economy and corporate profits will slow as crude futures touched another record and inched toward $50 per barrel.,Reuters,Stocks Slide as Oil Nears $50 Per Barrel,39,0.1762114537444934,2004.0,8.0,1
21,us troops meet little resistance to crackdown baghdad -- thousands of us troops swept house to house through mostly shi'ite areas virtually unopposed yesterday in the opening phase of the long-awaited baghdad security crackdown. but four us soldiers were killed outside of the capital in an area not covered by the operation.,Boston,US troops meet little resistance to crackdown,52,0.13803680981595093,2007.0,2.0,1
22,photos: matrix's high-rise chips matrix semiconductor's memory chips have several layers of transistors rather than a single plane.,CNET,Photos: Matrix's high-rise chips,18,0.24242424242424243,,,0
23,"this week's picks newton north over acton-boxboro -- in a late roster move, newton north adds chris barnicle to starting backfield and state cross-country champ runs for 5,468.066 yards (without stopping).",New,This week's picks,31,0.0825242718446602,2004.0,11.0,1
24,tennant 'is leaving doctor who' comedian catherine tate suggests the next series of dr who could be the last for actor david tennant.,BBC,Tennant 'is leaving Doctor Who',23,0.23134328358208955,2007.0,12.0,1
25,"movie publicists up before dawn for oscar (ap) ap - as first light spread across hollywood, the spin machine hummed to life.",Yahoo,Movie Publicists Up Before Dawn for Oscar (AP),22,0.368,,,0
26,birmingham youth arrested under terror act a 19-year-old man from birmingham has been arrested under the terrorism act along with two men suspected of immigration offences.,ITV.com,Birmingham youth arrested under Terror Act,26,0.24277456647398843,,,0
27,"tech giant ericsson posts solid 3q profit (ap) ap - lm ericsson, the world's largest supplier of equipment for wireless phone networks, posted a third-quarter profit on friday that was in line with analysts' expectations but said it expects only slight growth in mobile networks in the coming months.",Yahoo,Tech Giant Ericsson Posts Solid 3Q Profit (AP),49,0.15282392026578073,,,0
28,"brady works out with patriots \ (ap)\ ap - tom brady was back where he belongs monday, behind center for the new england patriots' first practice session of super bowl week.",Yahoo,"Brady works out with Patriots \
    (AP)\
",31,0.2413793103448276,2008.0,1.0,1
29,"davenport, sharapova reach final in tokyo (ap) ap - top-ranked lindsay davenport beat u.s. open champion svetlana kuznetsova 6-1, 7-6 (2) saturday to reach the final of the pan pacific open, a tournament she has won four times.",Yahoo,"Davenport, Sharapova Reach Final in Tokyo (AP)",38,0.20175438596491227,,,0
30,"in minn., a poetry slam with a twist \ (ap)\ ap - slam poetry got a fresh twist when three victorian-era re-enactors read from such poets as william wordsworth and emily dickinson in a setting that was fitting for the event — a 19th-century stone mansion.",Yahoo,"In Minn., a poetry slam with a twist \
    (AP)\
",46,0.19140625,2007.0,2.0,1
31,nigerian fuel strike to go ahead nigeria's general strike is set to go ahead on tuesday despite the government's decision to reduce the price of cooking fuel.,BBC,Nigerian fuel strike to go ahead,27,0.20125786163522014,,,0
32,"british govt wants answers on soaring energy bills: report \ (afp)\ afp - britain's finance minister alistair darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, british newspapers said monday.",Yahoo,"British govt wants answers on soaring energy bills: report \
    (AFP)\
",41,0.2727272727272727,2008.0,1.0,1
33,"""al qaeda"" invoked in u.s. embassy jakarta threat jakarta (reuters) - a bomb threat against the u.s. embassy in jakarta on thursday was conveyed to authorities by a pair of cell phone text messages signed, ""al qaeda,"" local officials said.",Reuters,"""Al Qaeda"" invoked in U.S. embassy Jakarta threat",40,0.20416666666666666,2007.0,3.0,1
34,indian company top bidder for jaguar an indian car maker that will unveil the world's cheapest car next week may soon produce two of the world's premier brands as well,Time,Indian Company Top Bidder for Jaguar,30,0.21428571428571427,2008.0,1.0,1
35,call for action on antibiotics washington: world health organisation and us medical experts warn that the increasing ability of bacteria to resist antibiotics threatens the existing arsenal of drugs against dangerous infectious diseases.,Australian,Call for action on antibiotics,33,0.12605042016806722,,,0
36,"vision solutions announces high availability assessment and readiness audits for ibm system i; vision's ha assessment software and process identify a clear path for protecting critical applications and information vision solutions, a leading high availability (ha) solution provider to the global 5000, has announced the orion(tm) assessment program for ibm's ""all-in-one"" system i business computing platform.",RedNova,Vision Solutions Announces High Availability Assessment and Readiness Audits for IBM System I; Vision's HA Assessment Software and Process Identify a Clear Path for Protecting Critical Applications and Information,56,0.5182481751824818,2006.0,9.0,1
37,"prosperity studios announces chapter 1 - the president's legacy - hope on africa this chapter of the video discusses that the hiv/aids pandemic in africa has escalated. ambassador hope was the first to advise capital hill on a large scale program to reverse the pandemic and support the orphans. prosperity studios, inc.",RedNova,Prosperity Studios Announces Chapter 1 - The President's Legacy - Hope on AFRICA,52,0.24922118380062305,2007.0,6.0,1
38,european shares open steady (reuters) reuters - european shares opened steady on tuesday\ after the main u.s. fourth quarter earnings season got off to a\ lackluster start overnight and chipmaker stmicroelectronics\ fell after warning on margins.,Yahoo,European Shares Open Steady (Reuters),36,0.14979757085020243,,,0
39,"kids see too many anti-impotence ads: doctors \ (reuters)\ reuters - children should be exposed to fewer \ television ads for anti-impotence drugs and more for birth \ control, and need to be shielded from an advertising onslaught \ in general, the leading u.s. pediatricians' group said on \ monday.",Yahoo,"Kids see too many anti-impotence ads: doctors \
    (Reuters)\
",50,0.20930232558139536,2006.0,12.0,1
40,"cognos 2q profit rises sharply software developer cognos inc. on wednesday posted a 52 percent rise in second-quarter profit, topping wall street expectations on a surge in license revenue across all of its regions, the company said.",Forbes,Cognos 2Q Profit Rises Sharply,37,0.1282051282051282,,,0
41,"karzai angered by afghan civilian casualties \ (afp)\ afp - president hamid karzai angrily criticised saturday ""indiscriminate and unprecise"" operations by nato- and us-led forces in afghanistan, which he said had killed 90 civilians in just over a week.",Yahoo,"Karzai angered by Afghan civilian casualties \
    (AFP)\
",39,0.22745098039215686,2007.0,6.0,1
42,"nfl ""minister of defense"" reggie white dies nfl ""minister of defense"" reggie white died sunday morning at his home in huntersville, north carolina, only seven days after his 43rd birthday.",Xinhua,NFL &quot;Minister of Defense&quot; Reggie White dies,30,0.2804232804232804,2004.0,12.0,1
43,"kathmandu bomb injures 12 at least a dozen people were injured tuesday when a powerful bomb went off in the nepalese capital, kathmandu. police attributed the blast to maoist rebels who have waged an eight-year insurgency in the himalayan state.",CNN,Kathmandu bomb injures 12,40,0.1016260162601626,2004.0,11.0,1
44,"injured woman thanks hospital staff in virginia (fairfax, va) 12/08/04 -- in 2003, daphne gipson was nearly killed when a boulder was thrown onto her car on a virginia highway. on tuesday, she returned to fairfax, virginia to thank the staff at inova fairfax hospital.",WOKR-TV,Injured Woman Thanks Hospital Staff In Virginia,45,0.17472118959107807,,,0
45,"farm law overhaul has revenue guarantee washington (reuters) - congress wants to weave a ""revenue protection"" strand into the u.s. farm safety net, a signal change in policy, in the $286 billion farm bill that is one step from final passage, expected in early 2008.",Reuters,Farm law overhaul has revenue guarantee,45,0.14661654135338345,2007.0,12.0,1
46,the one stock you must buy it's out there waiting for you.\,Motley,The One Stock You Must Buy,12,0.43333333333333335,2007.0,12.0,1
47,"fda approves test for tropical parasite \ (ap)\ ap - the first test to screen potential blood donors for a tropical disease that has stealthily infected as many as 100,000 hispanic immigrants gained federal approval wednesday.",Yahoo,"FDA approves test for tropical parasite \
    (AP)\
",36,0.2290748898678414,2006.0,12.0,1
48,"west japan on guard for aftershocks after quakes japanese authorities warned of possible aftershocks after two strong earthquakes hit western japan on sunday, but said the tremors were not directly linked to the sort",Reuters,West Japan on Guard for Aftershocks After Quakes,34,0.22119815668202766,,,0
49,"dow jones agrees to buy marketwatch to triple online readership dow jones & co., publisher of the wall street journal, agreed to purchase marketwatch inc. for about $519 million to triple its readership on the internet and boost advertising sales.",Bloomberg,Dow Jones Agrees to Buy MarketWatch to Triple Online Readership,40,0.2540322580645161,,,0
50,starbucks sales slowest in 15 months starbucks corp. wednesday posted its smallest monthly same-store sales increase since may of last year as a string of hurricanes slowed traffic into the coffee shop chain.,CNN,Starbucks sales slowest in 15 months,33,0.1722488038277512,2004.0,10.0,1
51,"waits for hearing aids 'too long' some people in england are facing waits of nearly two-and-a-half years for a hearing aid, the rnid says.",BBC,Waits for hearing aids 'too long',24,0.23741007194244604,2007.0,12.0,1
52,"istanbul device explodes, injuring two: tv istanbul (reuters) - two people were lightly injured when a small device exploded in turkey's largest city istanbul on tuesday, cnn turk television said, quoting dogan news agency.",Reuters,"Istanbul device explodes, injuring two: TV",34,0.1875,2007.0,12.0,1
53,england rugby hopeful cipriani on a steep learning curve \ (afp)\ afp - england hopeful danny cipriani admits he is on a steep learning curve as he tries to oust jonny wilkinson from the number ten jersey for the six nations opener against wales on february 2.,Yahoo,"England rugby hopeful Cipriani on a steep learning curve \
    (AFP)\
",47,0.2681992337164751,2008.0,1.0,1
54,"sc assistants asked to stay on staff south carolina's new football coach steve spurrier gestures during a news conference tuesday, nov. 23, 2004, at williams-brice stadium in columbia, sc (ap photo/mary ann chastain).",ABC,SC Assistants Asked to Stay on Staff,33,0.1651376146788991,2004.0,11.0,1
55,mississippi murder trial date set a segregationist preacher accused of the notorious 1964 murders of three us civil rights workers will go on trial in march.,BBC,Mississippi murder trial date set,26,0.2088607594936709,2005.0,1.0,1
56,navigating the holiday dessert table \n,CNN,Navigating the holiday dessert table,6,0.9,2004.0,12.0,1
57,"job growth slows, unemployment rate dips washington -- employers added just 51,000 jobs in september, the fewest in almost a year, while the unemployment rate dropped down to 4.6 percent _ offering a mixed picture of the nation's jobs climate.",Washington," Job Growth Slows, Unemployment Rate Dips ",40,0.1721311475409836,2006.0,10.0,1
58,"clint eastwood's iwo jima film resonates in japan tokyo (reuters) - hiromasa murakami went to see clint eastwood's ""letters from iwo jima"" to find out if an american could tell the japanese side of a battle that became a symbol of u.s. patriotism, but for japan was a bitter memory of defeat.",Reuters,Clint Eastwood's Iwo Jima film resonates in Japan,52,0.16723549488054607,2006.0,12.0,1
59,"laptops â threat to male fertility traditionally drug use, alcohol, smoking and obesity have been credited with lowering male sperm counts and increasing the risk of infertility.",Daily,Laptops â threat to male fertility,27,0.19889502762430938,2004.0,12.0,1
60,italian left demands work reform tens of thousands of people from across italy march in rome to demand work and pension reforms.,BBC,Italian left demands work reform,22,0.24806201550387597,2007.0,10.0,1
61,"18 years on, berlin tries to save crumbling remains of wall \ (afp)\ afp - eighteen years after the berlin wall fell on november 9, 1989, germans are battling to preserve the last remnants of a barrier that still haunts the country.",Yahoo,"18 years on, Berlin tries to save crumbling remains of Wall \
    (AFP)\
",42,0.3133047210300429,2007.0,11.0,1
62,"discovery of potential stem cells could help those suffering from ... toronto (cp) - a group of canadian researchers has made a discovery of potential stem cells in the pancreas, a finding that could not only one day lead to new treatments for diabetes but also change the way scientists understand the way cells develop.",Canada.com,Discovery of potential stem cells could help those suffering from <b>...</b>,55,0.2360248447204969,,,0
63,"a.p. says it wants to know everything about britney spears as the wire service boosts its entertainment news coverage, its l.a. bureau chief declares everything involving britney spears is âa big deal.â",New,A.P. Says It Wants to Know Everything About Britney Spears,32,0.28019323671497587,2008.0,1.0,1
64,"iaaf to consider investigating sprinter jones responding to new allegations of drug use by sprint star marion jones, the world governing body of track and field (iaaf) will consider today whether to conduct a formal investigation of jones, an iaaf official said yesterday.",Washington,IAAF to Consider Investigating Sprinter Jones,43,0.16483516483516483,,,0
65,"acquired: facebook snatches up parakey blog: facebook acquired parakey, a web os startup created by firefox's co-founders.",CNET,Acquired: Facebook snatches up Parakey,17,0.3089430894308943,2007.0,7.0,1
66,british mps accepted mr blunkettâs resignation with regret british home secretary david blunkett resigned tonight after an e-mail emerged showing that a visa application for his ex-lover's nanny had been fast-tracked by his office.,Pravda,British MPs accepted Mr Blunkettâs resignation with regret,34,0.2564102564102564,2004.0,12.0,1
67,ny fireman still haunted by 9/11 new york (reuters) - the faces of people trapped behind windows high up in the world trade center just before it collapsed five years ago still haunt michael puzziferri but the image has only stiffened his resolve as a new york firefighter.,Reuters,NY fireman still haunted by 9/11,48,0.11678832116788321,2006.0,9.0,1
68,dicaprio leads stars at premiere princesses beatrice and eugenie meet heartthrob leonardo dicaprio at the premiere of the aviator.,BBC,DiCaprio leads stars at premiere,19,0.24427480916030533,,,0
69,"stocks drop on economic fears new york (reuters) - stocks fell sharply after data showed factory activity contracted in december to its weakest since april 2003, underscoring worries about the economic slowdown.",Reuters,Stocks drop on economic fears,32,0.13679245283018868,2008.0,1.0,1
70,"new imac âslimmer, sleeker, and significantly fasterâ âwhat was arguably the best desktop computer on the market for the average consumer is slimmer, sleeker, and significantly faster,â says mike wendland (detroit free press) of the new models of the imac. and âperhaps best of all,â he notes, the imac is less expensiveââby $200 to $300, depending on the model.â wendland touts the new display: âits glossy glass finish means colors generally look brighter and bolder than with the matte finish of the previous models.â and he praises the new keyboard: âthe most revolutionary design associated with the new imac is its super-slim aluminum keyboard.the keys are flat, not raised, much like on appleâs macbook notebooks, and the whole board is just a third of an inch thick. the keys are a tad bit wider than the old apple keys, and very easy to type on.â",Apple,"New iMac âslimmer, sleeker, and significantly fasterâ",145,0.06447963800904978,2007.0,8.0,1
71,billionaire perelman appeals morgan stanley decision new york (reuters) - u.s. billionaire ronald perelman has gone to florida's highest state court to overturn an appeals court ruling that stripped him of a $1.58 billion jury award against morgan stanley .,Reuters,Billionaire Perelman appeals Morgan Stanley decision,40,0.20155038759689922,2007.0,7.0,1
72,drug discount plan seen as ploy to derail import bills sacramento legislators and consumer advocates criticized gov. arnold schwarzenegger's drug discount plan yesterday as a decoy intended to thwart their efforts to lower the cost of prescription drugs by opening access to canadian ...,San,Drug discount plan seen as ploy to derail import bills,44,0.1875,,,0
73,robbie williams is out of rehab singer robbie williams is out of rehab after three weeks of treatment for a dependency on prescription drugs.,\N,Robbie Williams is out of rehab,24,0.21830985915492956,2007.0,3.0,1
74,"top economic adviser to bush is leaving post the departure tuesday of stephen friedman, who left wall street to assume one of the top economic posts in the white house as director of the national economic council, will open a key economic policy position just as president bush begins his ambitious push to overhaul social security and the tax code.",Washington,Top Economic Adviser to Bush Is Leaving Post,60,0.12571428571428572,2004.0,11.0,1
75,"anousheh ansari launches prodea systems; entrepreneurial family unveils new company focused on simplifying the digital home anousheh, hamid, and amir ansari, entrepreneurs with an innovative approach to building companies that transform the marketplace, have established prodea systems, inc., to focus on significantly enhancing the digital home experience.",RedNova,Anousheh Ansari Launches Prodea Systems; Entrepreneurial Family Unveils New Company Focused on Simplifying the Digital Home,47,0.3435754189944134,2006.0,9.0,1
76,blackberrys sync with mac os x new software synchronizes research in motion devices with mac os x.,CNET,BlackBerrys sync with Mac OS X,17,0.30303030303030304,,,0
77,"u.s. intelligence paints gloomy picture of iraq baghdad (reuters) - u.s. intelligence experts painted a gloomy picture of iraq, saying in a report seen on friday sectarian bloodshed had surpassed the threat from al qaeda and warning of the consequences of a rapid u.s. withdrawal.",Reuters,U.S. intelligence paints gloomy picture of Iraq,45,0.16725978647686832,2007.0,2.0,1
78,"uganda: govât orders unilateral truce in the north kampala, 15 nov 2004 (irin) - the ugandan government has announced a unilateral one-week cessation of the military offensive against the rebels of the lord's resistance army (lra) in the northern region, in a move that could help end one of africa's most",Regional,UGANDA: Govât orders unilateral truce in the north,51,0.16883116883116883,,,0
79,hunter tells police he was threatened the hmong-american man being held in the killings of six hunters and the wounding of two others in wisconsin has told the police that he opened fire after the hunters,New,Hunter Tells Police He Was Threatened,36,0.18048780487804877,,,0
80,"consumer prices grew in september and housing starts slid 6% a decline in some prices tempered a rise in costs for medical care, gasoline and fuel oil. housing construction fell by 6 percent.",New,Consumer Prices Grew in September and Housing Starts Slid 6%,33,0.3125,,,0
81,"europe sweltering in record heat wave \ (ap)\ ap - lions licked blood-flavored ice blocks in the zoo, judges went wigless in court and guards at buckingham palace ducked into the shade.",Yahoo,"Europe sweltering in record heat wave \
    (AP)\
",32,0.26881720430107525,2006.0,7.0,1
82,"[ bush's talk on iran has a familiar ring... ] bush's talk on iran has a familiar ring for all americans who do not remember the progression to war in iraq, i remind you now that just prior to the iraq invasion, president bush was saying delay would bring consequences.",RedNova,[ Bush's Talk on Iran Has a Familiar Ring... ],50,0.17037037037037037,2006.0,9.0,1
83,"closest governor's race: it's governor-elect gregoire, but rossi ... democrat christine gregoire, the three-term state attorney general who fought america's tobacco industry, internet porn and schoolyard bullying, becomes washington's governor-elect on thursday, by a scant 129 votes out of more than 2.8 million cast.",San,"Closest governor&#39;s race: It&#39;s Governor-elect Gregoire, but Rossi <b>...</b>",44,0.2601880877742947,,,0
84,"deposed leader estrada slams philippine president arroyo at ... manila: deposed philippines leader joseph estrada on wednesday used the funeral of his movie star friend and defeated presidential candidate, fernando poe, to attack the incumbent president.",Channel,Deposed leader Estrada slams Philippine President Arroyo at <b>...</b>,36,0.27450980392156865,,,0
85,"bank voted 6-3 to increase rates policymakers at the bank of england voted 6-3 to raise uk interest rates to 5.75% this month, minutes show.",BBC,Bank voted 6-3 to increase rates,25,0.22695035460992907,2007.0,7.0,1
86,"losing start for charlotte the nba returned to charlotte after a two-year absence, but the bobcats could not start in style, losing 103-96 to the washington wizards.",BBC,Losing start for Charlotte,27,0.1566265060240964,,,0
87,"heads launch ofsted watch head teachers in england launch ""offwatch"" to monitor unprofessional ofsted inspectors.",BBC,Heads launch Ofsted watch,15,0.21929824561403508,2006.0,9.0,1
88,"greenspan issues warning on retirement benefits the chairman of the federal reserve, alan greenspan, warned today that the federal government might have to scale back promises to the elderly in programs like social security and medicare.",New,Greenspan Issues Warning on Retirement Benefits,36,0.19747899159663865,,,0
89,pfizer ceo still weighing fate of consumer unit \ (reuters)\ reuters - pfizer inc.'s chief executive \ said on thursday he was not leaning either way on whether the \ world's top drug maker would spin-off or sell its consumer \ products business.,Yahoo,"Pfizer CEO still weighing fate of consumer unit \
    (Reuters)\
",43,0.2631578947368421,2006.0,6.0,1
90,"oil giant yukos files for bankruptcy in the us russian oil giant yukos has filed for bankruptcy protection in the united states, hoping to keep russian authorities from auctioning off its main production subsidiary.",CTV,Oil giant Yukos files for bankruptcy in the US,34,0.21296296296296297,,,0
91,nash shines as nba suns roll over bucks \ (afp)\ afp - phoenix's canadian star steve nash scored a season-high 37 points and dished out 10 assists as the suns registered a 114-105 win tuesday over the milwaukee bucks.,Yahoo,"Nash shines as NBA Suns roll over Bucks \
    (AFP)\
",39,0.24311926605504589,2008.0,1.0,1
92,"messages lead to accused baby snatcher the rev. harold hamon said he was probably addressing christmas cards when his pregnant neighbor, bobbie jo stinnett, was strangled and the infant ripped from her womb.",Wichita,Messages lead to accused baby snatcher,33,0.18269230769230768,2004.0,12.0,1
93,"race doesn't affect survival after angioplasty new york (reuters health) - there is no difference in survival between black and white patients with heart disease who undergo angioplasty, a procedure to open blocked heart blood vessels, new research shows.",Reuters,Race Doesn't Affect Survival After Angioplasty,39,0.1796875,,,0
94,"classic games hit the spot in new-age dazzle san francisco (reuters) - in an age when the latest video games sport ultra-crisp graphics and cinema-like sound, there is still plenty of love for the good old-fashioned games just like mom and dad used to play.",Reuters,Classic games hit the spot in new-age dazzle,45,0.17054263565891473,2006.0,10.0,1
95,pompey policiers arts & entertainment: chris wiegand talks to crime novelist graham hurley about his grim vision of portsmouth,Guardian,Pompey policiers,19,0.12598425196850394,2008.0,1.0,1
96,"vanity fair chicago (cbs 2) when spies and superheroes give way to corsets and british accents, you know the fall movie season is officially underway.",WBBM,Vanity Fair,25,0.0728476821192053,2004.0,9.0,1
97,ukraine pm denies calling for force against protesters ukrainian prime minister viktor yanukovich has denied that he had lobbied for the use of troops against opposition protesters who took control of kiev streets after last month's disputed presidential election.,Topix.Net,Ukraine PM denies calling for force against protesters,39,0.2037735849056604,,,0
98,"jets give qb $64m extension chad pennington agreed to a $64 million, seven-year contract extension with the new york jets yesterday that includes $23 million in guaranteed money.",New,Jets give QB $64m extension,28,0.15083798882681565,,,0
99,"democrats focus on terrorism report in attacks on bush democratic lawmakers yesterday seized on elements of a new classified intelligence assessment as validation of their long-standing position that the iraq war has been a distraction from the broader war against terrorists, seeing the new study as an opportunity to undermine president bush's...",Washington, Democrats Focus on Terrorism Report in Attacks on Bush ,52,0.16045845272206305,2006.0,9.0,1
100,"the do's and don'ts of regifting what a minefield giving can be. and it can be particularly complicated when you're a regifter, which involves giving someone something that you had received as a gift (or an item that you have stashed in the back of your closet).",Washington, The Do's And Don'ts Of Regifting ,47,0.12927756653992395,2006.0,12.0,1
101,"heaven in his '80s arcade well, he did it. last time i wrote about peter hirschberg, a guy with a passion for restoring vintage, '80s-era arcade games, he was toying with the notion of building a full-blown arcade next to his linden home to store his growing collection. and here it is. finally, after a couple of years, a ...",Washington, Heaven in His '80s Arcade ,60,0.08256880733944955,2008.0,2.0,1
102,"chinese military to crush any attempt to split taiwan from china ... ""it is the sacred responsibility of the chinese armed forces to stop the 'taiwan independence' forces from splitting the country,"" says a white paper on national defense issued monday in beijing.",People's,Chinese military to crush any attempt to split Taiwan from China <b>...</b>,43,0.2830188679245283,,,0
103,"resignation of china's senior leader appears imminent jiang zemin, china's military chief and longtime senior leader, may formally step down on sunday, putting president hu jintao in full command of the chinese army, state and",New,Resignation of China&#39;s Senior Leader Appears Imminent,35,0.2511013215859031,2004.0,9.0,1
104,"inquiry sought on agency memo about polar bears, climate change two senior house democrats demanded yesterday that interior secretary dirk kempthorne turn over documents to congress in order to determine whether the administration was preventing federal scientists traveling abroad from discussing how global warming affects polar bears.",Washington," Inquiry Sought on Agency Memo About Polar Bears, Climate Change ",47,0.19230769230769232,2007.0,3.0,1
105,"brazil to let u.s. pilots go home after crash probe rio de janeiro, brazil (reuters) - two u.s. pilots should be allowed to go home after being forced to stay in brazil for more than two months over their role in the country's worst air disaster, a brazilian court ruled on tuesday.",Reuters,Brazil to let U.S. pilots go home after crash probe,52,0.18021201413427562,2006.0,12.0,1
106,"philippines postpones asean talks a meeting of east asian leaders in the philippines next week is postponed due to bad weather, officials say.",BBC,Philippines postpones Asean talks,23,0.23076923076923078,2006.0,12.0,1
107,"adobe says software not fully tested on new mac os \ (reuters)\ reuters - adobe systems inc's photoshop, \ illustrator and other creative suite 3 programs have not been \ fully tested with the latest version of apple inc's \ operating system due out next month, which could lead to \ incompatibility issues.",Yahoo,"Adobe says software not fully tested on new Mac OS \
    (Reuters)\
",53,0.22077922077922077,2007.0,9.0,1
108,"tensions rise in florida as charges of intimidation, ballot ... miami election tensions are on the rise in hotly contested florida, where charges of voter intimidation are flying and thousands of absentee ballots are being re-issued in one big county.",KVOA.com,"Tensions rise in Florida as charges of intimidation, ballot <b>...</b>",40,0.2777777777777778,,,0
109,"marketing the healthy option as tuesday's white paper puts it: ""a wide range of lifestyle choices are marketed to people, but health itself has not been marketed.",BBC,Marketing the healthy option,27,0.17177914110429449,,,0
110,"hong kong airlines orders 51 airbus planes \ (afp)\ afp - hong kong airlines has agreed to buy 51 planes from airbus worth 5.5 billion dollars (4.1 billion euros) at catalogue prices, the companies announced on thursday.",Yahoo,"Hong Kong Airlines orders 51 Airbus planes \
    (AFP)\
",37,0.25339366515837103,2007.0,6.0,1
111,"britain's prince harry banned from fighting in afghanistan: report \ (afp)\ afp - britain's prince harry will not be allowed to fight on the front line in afghanistan, the mail on sunday newspaper said, citing senior sources in the prince's regiment.",Yahoo,"Britain's Prince Harry banned from fighting in Afghanistan: report \
    (AFP)\
",41,0.3187250996015936,2006.0,10.0,1
