Id,source,title,article,page_rank,timestamp,text,n_tokens,title_len,article_len,title_ratio
14,BBC,Investigation after body is found,"\
An elderly man's body is found in a house in County Tyrone which police believe may have been burgled.",5,0000-00-00 00:00:00,"investigation after body is found \
an elderly man's body is found in a house in county tyrone which police believe may have been burgled.",20,33,104,0.3142857142857143
15,RedNova,Atlantis Docks With International Space Station; NASA... [Derived Headline],"Atlantis docks with international space station; NASA to examine shuttle before doors open  AP Photo NY115, NY112  By JUAN A.",3,2007-06-12 10:29:58,"atlantis docks with international space station; nasa... [derived headline] atlantis docks with international space station; nasa to examine shuttle before doors open  ap photo ny115, ny112  by juan a.",20,75,125,0.5952380952380952
16,Motley,Pilgrim's Pride Feeds on Firm Prices,"The company raises earnings guidance, boosting the stock.",5,0000-00-00 00:00:00,"pilgrim's pride feeds on firm prices the company raises earnings guidance, boosting the stock.",8,36,57,0.6206896551724138
17,CBC,Jewish settlement agrees to removal from Gaza in boost for Sharon <b>...</b>,"Residents of a small Jewish settlement said Sunday they&#39;ve struck a deal to move to a village inside Israel, giving a boost to the government&#39;s contentious Gaza pullout plan by becoming the first community to agree to be ",5,2004-12-27 02:40:58,"jewish settlement agrees to removal from gaza in boost for sharon <b>...</b> residents of a small jewish settlement said sunday they&#39;ve struck a deal to move to a village inside israel, giving a boost to the government&#39;s contentious gaza pullout plan by becoming the first community to agree to be ",38,76,229,0.33043478260869563
18,Yahoo,"Red Cross appealing for $19M for Iraq \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/ap/20080212/ap_on_re_mi_ea/red_cross_iraq""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080212/capt.sge.inl59.120208121749.photo02.photo.default-340x512.jpg?x=86&y=130&q=85&sig=W29jcS0SAlxe9rCbPbdsdQ--"" align=""left"" height=""130"" width=""86"" alt=""A US soldier stands guard as an Iraqi woman arrives at a fuel distribution depot in Samarra. Security forces have launched a search for two journalists from the American television network CBS who were kidnapped at gunpoint from their hotel in the Iraqi city of Basra.(AFP/Dave Clark)"" border=""0"" /></a>AP - The international Red Cross on Tuesday announced a campaign to raise $19 million to provide food, other supplies and health care to people in Iraq.</p><br clear=""all""/>",5,2008-02-12 14:47:38,"red cross appealing for $19m for iraq \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/ap/20080212/ap_on_re_mi_ea/red_cross_iraq""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080212/capt.sge.inl59.120208121749.photo02.photo.default-340x512.jpg?x=86&y=130&q=85&sig=w29jcs0salxe9rcbpbdsdq--"" align=""left"" height=""130"" width=""86"" alt=""a us soldier stands guard as an iraqi woman arrives at a fuel distribution depot in samarra. security forces have launched a search for two journalists from the american television network cbs who were kidnapped at gunpoint from their hotel in the iraqi city of basra.(afp/dave clark)"" border=""0"" /></a>ap - the international red cross on tuesday announced a campaign to raise $19 million to provide food, other supplies and health care to people in iraq.</p><br clear=""all""/>",82,50,804,0.062111801242236024
19,Yahoo,Loud Music Can Cause Lung Collapse (Reuters),"Reuters - Blasting music can be hard on\
the ears and the neighbors, and now researchers say it can also\
pack enough punch to collapse a lung.",5,2004-09-03 01:09:23,"loud music can cause lung collapse (reuters) reuters - blasting music can be hard on\
the ears and the neighbors, and now researchers say it can also\
pack enough punch to collapse a lung.",27,44,143,0.3055555555555556
20,Reuters,Stocks Slide as Oil Nears $50 Per Barrel, NEW YORK (Reuters) - U.S. stocks opened lower on Friday on  concerns the economy and corporate profits will slow as crude  futures touched another record and inched toward $50 per  barrel.,5,2004-08-20 21:51:41,stocks slide as oil nears $50 per barrel  new york (reuters) - u.s. stocks opened lower on friday on  concerns the economy and corporate profits will slow as crude  futures touched another record and inched toward $50 per  barrel.,31,40,189,0.21052631578947367
21,Boston,US troops meet little resistance to crackdown,BAGHDAD -- Thousands of US troops swept house to house through mostly Shi'ite areas virtually unopposed yesterday in the opening phase of the long-awaited Baghdad security crackdown. But four US soldiers were killed outside of the capital in an area not covered by the operation.,5,2007-02-15 11:59:58,us troops meet little resistance to crackdown baghdad -- thousands of us troops swept house to house through mostly shi'ite areas virtually unopposed yesterday in the opening phase of the long-awaited baghdad security crackdown. but four us soldiers were killed outside of the capital in an area not covered by the operation.,45,45,279,0.16071428571428573
22,CNET,Photos: Matrix's high-rise chips,Matrix Semiconductor's memory chips have several layers of transistors rather than a single plane.,3,0000-00-00 00:00:00,photos: matrix's high-rise chips matrix semiconductor's memory chips have several layers of transistors rather than a single plane.,14,32,98,0.32323232323232326
23,New,This week's picks,"Newton North over Acton-Boxboro -- In a late roster move, Newton North adds Chris Barnicle to starting backfield and state cross-country champ runs for 5,468.066 yards (without stopping).",5,2004-11-30 09:19:04,"this week's picks newton north over acton-boxboro -- in a late roster move, newton north adds chris barnicle to starting backfield and state cross-country champ runs for 5,468.066 yards (without stopping).",28,17,187,0.09042553191489362
24,BBC,Tennant 'is leaving Doctor Who',Comedian Catherine Tate suggests the next series of Dr Who could be the last for actor David Tennant.,5,2007-12-16 00:02:12,tennant 'is leaving doctor who' comedian catherine tate suggests the next series of dr who could be the last for actor david tennant.,18,31,101,0.30392156862745096
25,Yahoo,Movie Publicists Up Before Dawn for Oscar (AP),"AP - As first light spread across Hollywood, the spin machine hummed to life.",5,0000-00-00 00:00:00,"movie publicists up before dawn for oscar (ap) ap - as first light spread across hollywood, the spin machine hummed to life.",14,46,77,0.5897435897435898
26,ITV.com,Birmingham youth arrested under Terror Act,A 19-year-old man from Birmingham has been arrested under the Terrorism Act along with two men suspected of immigration offences. ,5,0000-00-00 00:00:00,birmingham youth arrested under terror act a 19-year-old man from birmingham has been arrested under the terrorism act along with two men suspected of immigration offences. ,20,42,130,0.32061068702290074
27,Yahoo,Tech Giant Ericsson Posts Solid 3Q Profit (AP),"AP - LM Ericsson, the world's largest supplier of equipment for wireless phone networks, posted a third-quarter profit on Friday that was in line with analysts' expectations but said it expects only slight growth in mobile networks in the coming months.",5,0000-00-00 00:00:00,"tech giant ericsson posts solid 3q profit (ap) ap - lm ericsson, the world's largest supplier of equipment for wireless phone networks, posted a third-quarter profit on friday that was in line with analysts' expectations but said it expects only slight growth in mobile networks in the coming months.",41,46,253,0.18110236220472442
28,Yahoo,"Brady works out with Patriots \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20080128/ap_on_sp_fo_ne/fbn_super_bowl_brady_practices""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20080128/capt.a9784edfdc694c2684c2e2cf13e3350d.super_bowl_patriots_football_azss106.jpg?x=69&y=130&q=85&sig=qolz988Pu4L.BrNXQw6OHQ--"" align=""left"" height=""130"" width=""69"" alt=""With his right ankle taped, New England Patriots quarterback Tom Brady (12) runs before practice began at Sun Devil Stadium in Tempe, Ariz., Monday, Jan. 28, 2008. The Patriots will play the New York Giants in Super Bowl XLII in Glendale, Ariz., on Sunday. (AP Photo/Stephan Savoia)"" border=""0"" /></a>AP - Tom Brady was back where he belongs Monday, behind center for the New England Patriots' first practice session of Super Bowl week.</p><br clear=""all""/>",5,2008-01-29 03:13:57,"brady works out with patriots \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20080128/ap_on_sp_fo_ne/fbn_super_bowl_brady_practices""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20080128/capt.a9784edfdc694c2684c2e2cf13e3350d.super_bowl_patriots_football_azss106.jpg?x=69&y=130&q=85&sig=qolz988pu4l.brnxqw6ohq--"" align=""left"" height=""130"" width=""69"" alt=""with his right ankle taped, new england patriots quarterback tom brady (12) runs before practice began at sun devil stadium in tempe, ariz., monday, jan. 28, 2008. the patriots will play the new york giants in super bowl xlii in glendale, ariz., on sunday. (ap photo/stephan savoia)"" border=""0"" /></a>ap - tom brady was back where he belongs monday, behind center for the new england patriots' first practice session of super bowl week.</p><br clear=""all""/>",79,42,818,0.05128205128205128
29,Yahoo,"Davenport, Sharapova Reach Final in Tokyo (AP)","AP - Top-ranked Lindsay Davenport beat U.S. Open champion Svetlana Kuznetsova 6-1, 7-6 (2) Saturday to reach the final of the Pan Pacific Open, a tournament she has won four times.",5,0000-00-00 00:00:00,"davenport, sharapova reach final in tokyo (ap) ap - top-ranked lindsay davenport beat u.s. open champion svetlana kuznetsova 6-1, 7-6 (2) saturday to reach the final of the pan pacific open, a tournament she has won four times.",31,46,180,0.2541436464088398
30,Yahoo,"In Minn., a poetry slam with a twist \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20070211/ap_en_ot/victorian_slam""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070211/capt.mnjm10102110538.victorian_slam_mnjm101.jpg?x=130&y=87&sig=ZQMQL0sjjO4cvAJy43YJ7A--"" align=""left"" height=""87"" width=""130"" alt=""Craig Johnson, left, performs during poetry reading with Ann Brueggeman, center, and Laura Salveson Saturday night, Feb. 10, 2007 in St. Paul, Minn., as slam poetry got a not-so-fresh treatment from the three Victorian era re-enactors during a Victorian poetry slam. (AP Photo/Jim Mone)"" border=""0"" /></a>AP - Slam poetry got a fresh twist when three Victorian-era re-enactors read from such poets as William Wordsworth and Emily Dickinson in a setting that was fitting for the event &#151; a 19th-century stone mansion.</p><br clear=""all""/>",5,2007-02-11 10:51:37,"in minn., a poetry slam with a twist \
    (ap)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20070211/ap_en_ot/victorian_slam""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070211/capt.mnjm10102110538.victorian_slam_mnjm101.jpg?x=130&y=87&sig=zqmql0sjjo4cvajy43yj7a--"" align=""left"" height=""87"" width=""130"" alt=""craig johnson, left, performs during poetry reading with ann brueggeman, center, and laura salveson saturday night, feb. 10, 2007 in st. paul, minn., as slam poetry got a not-so-fresh treatment from the three victorian era re-enactors during a victorian poetry slam. (ap photo/jim mone)"" border=""0"" /></a>ap - slam poetry got a fresh twist when three victorian-era re-enactors read from such poets as william wordsworth and emily dickinson in a setting that was fitting for the event &#151; a 19th-century stone mansion.</p><br clear=""all""/>",88,49,851,0.057511737089201875
31,BBC,Nigerian fuel strike to go ahead,Nigeria's general strike is set to go ahead on Tuesday despite the government's decision to reduce the price of cooking fuel.,5,0000-00-00 00:00:00,nigerian fuel strike to go ahead nigeria's general strike is set to go ahead on tuesday despite the government's decision to reduce the price of cooking fuel.,21,32,125,0.25396825396825395
32,Yahoo,"British govt wants answers on soaring energy bills: report \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20080107/wl_uk_afp/britainpoliticsenergyconsumer""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080107/capt.sge.qat68.070108012801.photo00.photo.default-341x512.jpg?x=86&y=130&q=85&sig=Bh8Uu6CtL_ibp7n23PSB6w--"" align=""left"" height=""130"" width=""86"" alt=""Britain's Finance Minister Alistair Darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, British newspapers said Monday.(AFP/File/Shaun Curry)"" border=""0"" /></a>AFP - Britain's finance minister Alistair Darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, British newspapers said Monday.</p><br clear=""all""/>",5,2008-01-07 02:55:15,"british govt wants answers on soaring energy bills: report \
    (afp)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20080107/wl_uk_afp/britainpoliticsenergyconsumer""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080107/capt.sge.qat68.070108012801.photo00.photo.default-341x512.jpg?x=86&y=130&q=85&sig=bh8uu6ctl_ibp7n23psb6w--"" align=""left"" height=""130"" width=""86"" alt=""britain's finance minister alistair darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, british newspapers said monday.(afp/file/shaun curry)"" border=""0"" /></a>afp - britain's finance minister alistair darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, british newspapers said monday.</p><br clear=""all""/>",67,72,786,0.09148665819567979
33,Reuters,"""Al Qaeda"" invoked in U.S. embassy Jakarta threat","JAKARTA (Reuters) - A bomb threat against the U.S. Embassy in Jakarta on Thursday was conveyed to authorities by a pair of cell phone text messages signed, ""al Qaeda,"" local officials said.",5,2007-03-01 08:29:20,"""al qaeda"" invoked in u.s. embassy jakarta threat jakarta (reuters) - a bomb threat against the u.s. embassy in jakarta on thursday was conveyed to authorities by a pair of cell phone text messages signed, ""al qaeda,"" local officials said.",32,49,189,0.2578947368421053
34,Time,Indian Company Top Bidder for Jaguar,"An Indian car maker that will unveil the world's cheapest car next week may soon produce two of the world's premier brands as well<img src=""http://feeds.feedburner.com/~r/time/topstories/~4/210742561"" height=""1"" width=""1""/>",5,2008-01-03 22:58:25,"indian company top bidder for jaguar an indian car maker that will unveil the world's cheapest car next week may soon produce two of the world's premier brands as well<img src=""http://feeds.feedburner.com/~r/time/topstories/~4/210742561"" height=""1"" width=""1""/>",27,36,223,0.16071428571428573
35,Australian,Call for action on antibiotics,WASHINGTON: World Health Organisation and US medical experts warn that the increasing ability of bacteria to resist antibiotics threatens the existing arsenal of drugs against dangerous infectious diseases.,5,0000-00-00 00:00:00,call for action on antibiotics washington: world health organisation and us medical experts warn that the increasing ability of bacteria to resist antibiotics threatens the existing arsenal of drugs against dangerous infectious diseases.,28,30,206,0.14492753623188406
36,RedNova,Vision Solutions Announces High Availability Assessment and Readiness Audits for IBM System I; Vision's HA Assessment Software and Process Identify a Clear Path for Protecting Critical Applications and Information,"Vision Solutions, a leading high availability (HA) solution provider to the Global 5000, has announced the ORION(TM) Assessment program for IBM's ""all-in-one"" System i business computing platform.",4,2006-09-18 18:02:43,"vision solutions announces high availability assessment and readiness audits for ibm system i; vision's ha assessment software and process identify a clear path for protecting critical applications and information vision solutions, a leading high availability (ha) solution provider to the global 5000, has announced the orion(tm) assessment program for ibm's ""all-in-one"" system i business computing platform.",27,213,196,1.0812182741116751
37,RedNova,Prosperity Studios Announces Chapter 1 - The President's Legacy - Hope on AFRICA,"This Chapter of the video discusses that the HIV/AIDS pandemic in Africa has escalated. Ambassador Hope was the first to advise Capital Hill on a large scale Program to reverse the pandemic and support the orphans.  Prosperity Studios, Inc.",4,2007-06-22 17:07:55,"prosperity studios announces chapter 1 - the president's legacy - hope on africa this chapter of the video discusses that the hiv/aids pandemic in africa has escalated. ambassador hope was the first to advise capital hill on a large scale program to reverse the pandemic and support the orphans.  prosperity studios, inc.",39,80,240,0.33195020746887965
38,Yahoo,European Shares Open Steady (Reuters),"Reuters - European shares opened steady on Tuesday\
after the main U.S. fourth quarter earnings season got off to a\
lackluster start overnight and chipmaker STMicroelectronics\
fell after warning on margins.",5,0000-00-00 00:00:00,"european shares open steady (reuters) reuters - european shares opened steady on tuesday\
after the main u.s. fourth quarter earnings season got off to a\
lackluster start overnight and chipmaker stmicroelectronics\
fell after warning on margins.",31,37,208,0.17703349282296652
39,Yahoo,"Kids see too many anti-impotence ads: doctors \
    (Reuters)\
","Reuters - Children should be exposed to fewer \
television ads for anti-impotence drugs and more for birth \
control, and need to be shielded from an advertising onslaught \
in general, the leading U.S. pediatricians' group said on \
Monday.",5,2006-12-04 08:29:49,"kids see too many anti-impotence ads: doctors \
    (reuters)\
 reuters - children should be exposed to fewer \
television ads for anti-impotence drugs and more for birth \
control, and need to be shielded from an advertising onslaught \
in general, the leading u.s. pediatricians' group said on \
monday.",41,63,241,0.2603305785123967
40,Forbes,Cognos 2Q Profit Rises Sharply,"Software developer Cognos Inc. on Wednesday posted a 52 percent rise in second-quarter profit, topping Wall Street expectations on a surge in license revenue across all of its regions, the company said.",5,0000-00-00 00:00:00,"cognos 2q profit rises sharply software developer cognos inc. on wednesday posted a 52 percent rise in second-quarter profit, topping wall street expectations on a surge in license revenue across all of its regions, the company said.",32,30,202,0.1477832512315271
41,Yahoo,"Karzai angered by Afghan civilian casualties \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/afp/20070623/wl_afp/afghanistanunrestcivilian""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20070623/capt.sge.qfg51.230607164715.photo00.photo.default-347x512.jpg?x=88&y=130&sig=jJdzXL2UiFniJ1raq029SA--"" align=""left"" height=""130"" width=""88"" alt=""Afghan President Hamid Karzai speaks during a press conference at the Presidential Palace in Kabul. Karzai angrily criticised Saturday &quot;indiscriminate and unprecise&quot; operations by NATO- and US-led forces in Afghanistan, which he said had killed 90 civilians in just over a week.(AFP/Massoud Hossaini)"" border=""0"" /></a>AFP - President Hamid Karzai angrily criticised Saturday &quot;indiscriminate and unprecise&quot; operations by NATO- and US-led forces in Afghanistan, which he said had killed 90 civilians in just over a week.</p><br clear=""all""/>",5,2007-06-23 19:40:20,"karzai angered by afghan civilian casualties \
    (afp)\
 <p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/afp/20070623/wl_afp/afghanistanunrestcivilian""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20070623/capt.sge.qfg51.230607164715.photo00.photo.default-347x512.jpg?x=88&y=130&sig=jjdzxl2uifnij1raq029sa--"" align=""left"" height=""130"" width=""88"" alt=""afghan president hamid karzai speaks during a press conference at the presidential palace in kabul. karzai angrily criticised saturday &quot;indiscriminate and unprecise&quot; operations by nato- and us-led forces in afghanistan, which he said had killed 90 civilians in just over a week.(afp/massoud hossaini)"" border=""0"" /></a>afp - president hamid karzai angrily criticised saturday &quot;indiscriminate and unprecise&quot; operations by nato- and us-led forces in afghanistan, which he said had killed 90 civilians in just over a week.</p><br clear=""all""/>",82,58,887,0.06531531531531531
42,Xinhua,NFL &quot;Minister of Defense&quot; Reggie White dies,"NFL &quot;Minister of Defense&quot; Reggie White died Sunday morning at his home in Huntersville, North Carolina, only seven days after his 43rd birthday.",5,2004-12-27 08:33:34,"nfl &quot;minister of defense&quot; reggie white dies nfl &quot;minister of defense&quot; reggie white died sunday morning at his home in huntersville, north carolina, only seven days after his 43rd birthday.",23,53,154,0.3419354838709677
43,CNN,Kathmandu bomb injures 12,"At least a dozen people were injured Tuesday when a powerful bomb went off in the Nepalese capital, Kathmandu. Police attributed the blast to Maoist rebels who have waged an eight-year insurgency in the Himalayan state.",5,2004-11-09 14:40:15,"kathmandu bomb injures 12 at least a dozen people were injured tuesday when a powerful bomb went off in the nepalese capital, kathmandu. police attributed the blast to maoist rebels who have waged an eight-year insurgency in the himalayan state.",36,25,219,0.11363636363636363
44,WOKR-TV,Injured Woman Thanks Hospital Staff In Virginia,"(Fairfax, VA) 12/08/04 -- In 2003, Daphne Gipson was nearly killed when a boulder was thrown onto her car on a Virginia highway. On Tuesday, she returned to Fairfax, Virginia to thank the staff at Inova Fairfax Hospital.",5,0000-00-00 00:00:00,"injured woman thanks hospital staff in virginia (fairfax, va) 12/08/04 -- in 2003, daphne gipson was nearly killed when a boulder was thrown onto her car on a virginia highway. on tuesday, she returned to fairfax, virginia to thank the staff at inova fairfax hospital.",38,47,220,0.21266968325791855
45,Reuters,Farm law overhaul has revenue guarantee,"WASHINGTON (Reuters) - Congress wants to weave a ""revenue protection"" strand into the U.S. farm safety net, a signal change in policy, in the $286 billion farm bill that is one step from final passage, expected in early 2008.",5,2007-12-15 02:17:34,"farm law overhaul has revenue guarantee washington (reuters) - congress wants to weave a ""revenue protection"" strand into the u.s. farm safety net, a signal change in policy, in the $286 billion farm bill that is one step from final passage, expected in early 2008.",39,39,225,0.17256637168141592
46,Motley,The One Stock You Must Buy,"It's out there waiting for you.\
<p><a href=""http://feeds.fool.com/~a/usmf/foolwatch?a=AgH1AM""><img src=""http://feeds.fool.com/~a/usmf/foolwatch?i=AgH1AM"" border=""0""></img></a></p><img src=""http://feeds.fool.com/~r/usmf/foolwatch/~4/202392573"" height=""1"" width=""1""/>",5,2007-12-19 00:03:17,"the one stock you must buy it's out there waiting for you.\
<p><a href=""http://feeds.fool.com/~a/usmf/foolwatch?a=agh1am""><img src=""http://feeds.fool.com/~a/usmf/foolwatch?i=agh1am"" border=""0""></img></a></p><img src=""http://feeds.fool.com/~r/usmf/foolwatch/~4/202392573"" height=""1"" width=""1""/>",13,26,266,0.09737827715355805
47,Yahoo,"FDA approves test for tropical parasite \
    (AP)\
","AP - The first test to screen potential blood donors for a tropical disease that has stealthily infected as many as 100,000 Hispanic immigrants gained federal approval Wednesday.",5,2006-12-13 18:42:56,"fda approves test for tropical parasite \
    (ap)\
 ap - the first test to screen potential blood donors for a tropical disease that has stealthily infected as many as 100,000 hispanic immigrants gained federal approval wednesday.",28,52,178,0.2905027932960894
48,Reuters,West Japan on Guard for Aftershocks After Quakes,"Japanese authorities warned of possible aftershocks after two strong earthquakes hit western Japan on Sunday, but said the tremors were not directly linked to the sort ",5,0000-00-00 00:00:00,"west japan on guard for aftershocks after quakes japanese authorities warned of possible aftershocks after two strong earthquakes hit western japan on sunday, but said the tremors were not directly linked to the sort ",26,48,168,0.28402366863905326
