Id,source,title,article,page_rank,timestamp,label,text,n_tokens,title_len,article_len,title_ratio,y_true,y_pred,fold
684,Reuters,Sarkozy reform on track after French poll,"PARIS (Reuters) - French President Nicolas Sarkozy was forced into a cabinet rethink on Monday after losing a senior minister in parliamentary polls that gave him an unexpectedly small majority, but his reforms remained on track.",5,2007-06-18 15:59:00,5,"sarkozy reform on track after french poll paris (reuters) - french president nicolas sarkozy was forced into a cabinet rethink on monday after losing a senior minister in parliamentary polls that gave him an unexpectedly small majority, but his reforms remained on track.",36,41,229,0.1782608695652174,5,0,1
724,ABC,Everything You Need to Know About Microsoft&#39;s OS Update,"The service pack is notable mostly for a variety of new security features, including fixes to many known problems, a new version of the Windows Firewall that is turned on by default, and a new security center.",5,0000-00-00 00:00:00,2,"everything you need to know about microsoft&#39;s os update the service pack is notable mostly for a variety of new security features, including fixes to many known problems, a new version of the windows firewall that is turned on by default, and a new security center.",37,59,209,0.28095238095238095,2,3,1
745,Reuters,Iraq cabinet endorses changes to draft oil law,BAGHDAD (Reuters) - Iraq's cabinet approved changes to a landmark draft hydrocarbon law on Tuesday and will submit the bill to parliament after months of bickering between the central government and Kurdish officials.,5,2007-07-03 10:51:44,0,iraq cabinet endorses changes to draft oil law baghdad (reuters) - iraq's cabinet approved changes to a landmark draft hydrocarbon law on tuesday and will submit the bill to parliament after months of bickering between the central government and kurdish officials.,33,46,217,0.21100917431192662,0,5,1
757,BBC,F1: Countdown to British GP,Lewis Hamilton is on pole for Sunday's eagerly-anticipated British Grand Prix at Silverstone.,5,2007-07-08 13:19:50,0,f1: countdown to british gp lewis hamilton is on pole for sunday's eagerly-anticipated british grand prix at silverstone.,13,27,93,0.2872340425531915,0,5,1
758,Monterey,Pitch count doesn&#39;t really concern Lidge,"The Houston Astros needed Brad Lidge for a two-inning save, and he delivered. But he had to throw 42 pitches in saving the Astros&#39; 5-2 victory over the St.",5,0000-00-00 00:00:00,3,"pitch count doesn&#39;t really concern lidge the houston astros needed brad lidge for a two-inning save, and he delivered. but he had to throw 42 pitches in saving the astros&#39; 5-2 victory over the st.",29,44,159,0.275,3,4,1
762,BBC,Kenyan ethnic attacks 'planned',"Kenyan opposition officials were behind attacks on the president's ethnic group, a rights group says.",5,2008-01-24 15:06:16,5,"kenyan ethnic attacks 'planned' kenyan opposition officials were behind attacks on the president's ethnic group, a rights group says.",15,31,101,0.30392156862745096,5,0,1
781,Yahoo,Exotic Cuban Tree Frog Found in Georgia (AP),"AP - The small frogs that croaked in Diane Butler's backyard pond had been silenced and her goldfish were disappearing. She had the culprit, dead in a plastic bag inside her freezer. Butler's capture &#151; a 4 1/2-inch Cuban tree frog &#151; in coastal Savannah has caused a nervous stir among wildlife biologists in Georgia and Florida.",5,0000-00-00 00:00:00,2,"exotic cuban tree frog found in georgia (ap) ap - the small frogs that croaked in diane butler's backyard pond had been silenced and her goldfish were disappearing. she had the culprit, dead in a plastic bag inside her freezer. butler's capture &#151; a 4 1/2-inch cuban tree frog &#151; in coastal savannah has caused a nervous stir among wildlife biologists in georgia and florida.",57,44,338,0.12979351032448377,2,0,1
798,Boston,Chimpanzees find a safe island refuge in Uganda,"NGAMBA ISLAND, Uganda - The produce starts flying every afternoon at 2:30, just after the 41 chimpanzees emerge from the forest. No one calls them. They know they have a standing reservation at this salad bar bombardment.",5,2007-09-09 15:50:45,0,"chimpanzees find a safe island refuge in uganda ngamba island, uganda - the produce starts flying every afternoon at 2:30, just after the 41 chimpanzees emerge from the forest. no one calls them. they know they have a standing reservation at this salad bar bombardment.",37,47,221,0.21171171171171171,0,4,1
802,BBC,Teen rape accused was out on bail,"A 14-year-old boy accused of raping a student in a Belfast park was out on bail at the time, the High Court hears.",5,2007-09-06 16:25:40,0,"teen rape accused was out on bail a 14-year-old boy accused of raping a student in a belfast park was out on bail at the time, the high court hears.",23,33,114,0.28695652173913044,0,5,1
805,Indie,LA Film Critics Toast &quot;Sideways&quot; With 5 Prizes,"In the first of many critics groups picks for the best movies of the year, the Los Angeles Film Critics Association (LAFCA) weighed in with its choices for the best films of 2004, naming Alexander Payne&#39;s &quot;Sideways&quot; the top movie.",5,2004-12-13 16:10:56,5,"la film critics toast &quot;sideways&quot; with 5 prizes in the first of many critics groups picks for the best movies of the year, the los angeles film critics association (lafca) weighed in with its choices for the best films of 2004, naming alexander payne&#39;s &quot;sideways&quot; the top movie.",40,56,244,0.22857142857142856,5,3,1
844,BBC,Brain 'cannabis' Parkinson's hope,"Boosting the brain's natural cannabis-like chemicals could help treat Parkinson's disease, a study suggests.",5,2007-02-08 03:45:06,0,"brain 'cannabis' parkinson's hope boosting the brain's natural cannabis-like chemicals could help treat parkinson's disease, a study suggests.",14,33,108,0.30275229357798167,0,6,1
867,Tallahassee.com,US men win 800; Phelps injured,The United States outtouched Australia to win the men&#39;s 800-meter freestyle relay after Michael Phelps withdrew from the World Short Course Championships because of a back injury Friday night.,5,0000-00-00 00:00:00,3,us men win 800; phelps injured the united states outtouched australia to win the men&#39;s 800-meter freestyle relay after michael phelps withdrew from the world short course championships because of a back injury friday night.,29,30,196,0.15228426395939088,3,5,1
900,AXcess,Cuban Ban on Circulation of Dollars Shows Weakness of Castro <b>...</b>,The State Department says Cuba&#39;s move to ban the circulation of dollars underscores the weakness of Fidel Castro&#39;s communist government.,5,2004-10-27 09:16:21,5,cuban ban on circulation of dollars shows weakness of castro <b>...</b> the state department says cuba&#39;s move to ban the circulation of dollars underscores the weakness of fidel castro&#39;s communist government.,20,71,144,0.4896551724137931,5,3,1
955,ESPN,Time for a new leader,"England v Azerbaijan - another game for the national side totally overshadowed by David Beckham. This is, of course, a not uncommon phenomena.",5,0000-00-00 00:00:00,3,"time for a new leader england v azerbaijan - another game for the national side totally overshadowed by david beckham. this is, of course, a not uncommon phenomena.",23,21,142,0.14685314685314685,3,4,1
962,New,Explain a Medical Error? Sure. Apologize Too?,"Most doctors are afraid to take responsibility for medical errors, but studies have shown that physiciansâ apologies may protect against litigation. ",5,2008-01-02 07:25:01,2,"explain a medical error? sure. apologize too? most doctors are afraid to take responsibility for medical errors, but studies have shown that physiciansâ apologies may protect against litigation. ",21,45,151,0.29605263157894735,2,6,1
969,Australian,S. Korea on alert over fence hole,SOUTH Korea&#39;s military was on alert along the Demilitarised Zone frontier with North Korea yesterday after a night patrol found a hole cut in the border fence.,5,0000-00-00 00:00:00,0,s. korea on alert over fence hole south korea&#39;s military was on alert along the demilitarised zone frontier with north korea yesterday after a night patrol found a hole cut in the border fence.,27,33,163,0.20121951219512196,0,3,1
970,Reuters,"Suicide Bombers, Gunmen Kill 32 in Iraq"," BAGHDAD (Reuters) - Suicide car bombers hit a bus packed  with Iraqi National Guards on Sunday, killing 26 people in the  deadliest attack of its kind in four months on Iraqis  cooperating with U.S. forces to secure a Jan. 30 election.",5,2005-01-02 19:18:30,0,"suicide bombers, gunmen kill 32 in iraq  baghdad (reuters) - suicide car bombers hit a bus packed  with iraqi national guards on sunday, killing 26 people in the  deadliest attack of its kind in four months on iraqis  cooperating with u.s. forces to secure a jan. 30 election.",41,39,236,0.16455696202531644,0,5,1
980,Yahoo,Yahoo Profit Triples on Google Stake Sale (Reuters),"Reuters - Yahoo Inc. reported on Tuesday a\
quarterly net profit that more than tripled from the year\
earlier, boosted by the sale of shares it held in rival Google\
Inc. and stronger online ad revenue that analysts said may\
signal good results from other Web search providers.",5,0000-00-00 00:00:00,2,"yahoo profit triples on google stake sale (reuters) reuters - yahoo inc. reported on tuesday a\
quarterly net profit that more than tripled from the year\
earlier, boosted by the sale of shares it held in rival google\
inc. and stronger online ad revenue that analysts said may\
signal good results from other web search providers.",48,51,279,0.18214285714285713,2,1,1
995,New,A Chip That Can Transfer Data Using Laser Light,Researchers say they have created a silicon-based chip that can produce laser beams to send data between chips.,5,2006-09-18 05:39:23,1,a chip that can transfer data using laser light researchers say they have created a silicon-based chip that can produce laser beams to send data between chips.,18,47,111,0.41964285714285715,1,2,1
1014,Forbes,Update 5: PeopleSoft Extends Its Customer Program,PeopleSoft Inc. said Tuesday it is extending a money-back guarantee program that it says is designed to protect customers in the event of a takeover by its rival software maker Oracle Corp.,5,0000-00-00 00:00:00,2,update 5: peoplesoft extends its customer program peoplesoft inc. said tuesday it is extending a money-back guarantee program that it says is designed to protect customers in the event of a takeover by its rival software maker oracle corp.,32,49,189,0.2578947368421053,2,1,1
1022,Reuters,Clinton pilots subsidized malaria drugs in Africa,DAR ES SALAAM (Reuters) - Former President Bill Clinton launched a program on Sunday to make subsidized malaria drugs available in Tanzania in a test scheme that could serve as a blueprint for Africa as a whole.,5,2007-07-24 00:43:01,6,clinton pilots subsidized malaria drugs in africa dar es salaam (reuters) - former president bill clinton launched a program on sunday to make subsidized malaria drugs available in tanzania in a test scheme that could serve as a blueprint for africa as a whole.,37,49,211,0.23113207547169812,6,0,1
1027,New,Barry Diller to break up InterActive,Billionaire Barry Diller plans to break up InterActiveCorp after spending a decade amassing more than 40 businesses ranging from Internet travel agents to the Home Shopping Network.,5,0000-00-00 00:00:00,1,barry diller to break up interactive billionaire barry diller plans to break up interactivecorp after spending a decade amassing more than 40 businesses ranging from internet travel agents to the home shopping network.,27,36,181,0.1978021978021978,1,2,1
1099,Financial,US mounts fresh attack on Taliban,The US-led militarycoalition in Afghanistan has beguna big offensive against militants loyal to the ousted Taliban regime in an attempt to quash any attempt to disrupt parliamentary elections next spring.,5,0000-00-00 00:00:00,0,us mounts fresh attack on taliban the us-led militarycoalition in afghanistan has beguna big offensive against militants loyal to the ousted taliban regime in an attempt to quash any attempt to disrupt parliamentary elections next spring.,30,33,204,0.16097560975609757,0,5,1
1120,New,Study Says U.S. Has Lead in Nanotechnology,The report cautioned that the potential risks of manipulating matter on such a small scale deserved more study.,5,2006-09-26 10:49:27,1,study says u.s. has lead in nanotechnology the report cautioned that the potential risks of manipulating matter on such a small scale deserved more study.,18,42,111,0.375,1,6,1
1131,BBC,Smokers' genetic arthritis risk,"People genetically prone to arthritis who also smoke are storing up trouble for the future, researchers warn.",5,0000-00-00 00:00:00,0,"smokers' genetic arthritis risk people genetically prone to arthritis who also smoke are storing up trouble for the future, researchers warn.",17,31,109,0.2818181818181818,0,6,1
1140,Reuters,"Eritrea denies seizing tourists, blames Ethiopia","ADDIS ABABA (Reuters) - Eritrea dismissed as ""baseless fabrication"" accusations by an Ethiopian official that Eritrean forces had kidnapped a group of British tourists in a remote area of Ethiopia.",5,2007-03-04 21:58:34,5,"eritrea denies seizing tourists, blames ethiopia addis ababa (reuters) - eritrea dismissed as ""baseless fabrication"" accusations by an ethiopian official that eritrean forces had kidnapped a group of british tourists in a remote area of ethiopia.",30,48,197,0.24242424242424243,5,0,1
1149,Reuters,Scorsese shares spotlight as he finally wins Oscar,"LOS ANGELES (Reuters) - Martin Scorsese, the creator of ""Raging Bull"" and ""Taxi Driver"", finally won Oscar recognition on Sunday but he had to share the spotlight with politician Al Gore, regal actress Helen Mirren and Cinderella story Jennifer Hudson.",5,2007-02-26 16:10:06,5,"scorsese shares spotlight as he finally wins oscar los angeles (reuters) - martin scorsese, the creator of ""raging bull"" and ""taxi driver"", finally won oscar recognition on sunday but he had to share the spotlight with politician al gore, regal actress helen mirren and cinderella story jennifer hudson.",40,50,252,0.1976284584980237,5,3,1
1186,Washington, Liberal Coalition Eyes First Hundred Hours ," A large group of liberal organizations is planning to wage a national lobbying and public relations campaign to press for passage of the House Democrats' legislative agenda next year, taking a page from longtime corporate practices. ",5,2006-12-06 08:30:39,1," liberal coalition eyes first hundred hours   a large group of liberal organizations is planning to wage a national lobbying and public relations campaign to press for passage of the house democrats' legislative agenda next year, taking a page from longtime corporate practices. ",36,44,234,0.18723404255319148,1,0,1
